id,source,title,company,location,base_location,work_mode,contract_type,language_required,score
01ba89783a4c945cb1d3,LinkedIn,VP Product & Engineering (m/f/d),KoRo,"Berlin, Germany","Berlin, Germany",on-site,permanent,english,2
02cfde71dfff92720db1,LinkedIn,Product Owner Functieteam Engineering,Stedin,"Heinenoord, South Holland, Netherlands","Heinenoord, South Holland, Netherlands",on-site,permanent,unknown,1
04c8a5372df65d8ff1db,LinkedIn,Product Lead (Public Sector),Kainos,"Belfast, Northern Ireland, UK","Birmingham, England, UK",on-site,permanent,english,1
0501c92a032fd008139e,LinkedIn,"Product Owner, Experimental Data Workflow",GSK,"Stevenage, England, UK","Stevenage, England, UK",on-site,permanent,english,1
05f8915566ba1cfbeece,LinkedIn,Product Owner - UK APP & Commerce Platforms,SEPHORA,"Harrow, England, UK","Harrow, England, UK",on-site,permanent,english,1
0755ea4c0a1f37631d7b,LinkedIn,"Senior Director of Product, Consumer (d/f/m)",Taxfix,"Berlin, Germany","Berlin, Germany",on-site,permanent,english,2
086fe9cac98cc7b91926,LinkedIn,Product Manager,Zynga,"Istanbul, Türkiye","Istanbul, Türkiye",on-site,permanent,english,2
089cf9079494d779e648,LinkedIn,Senior Product Manager (Singapore based),Agoda,"Prague, Prague, Czech Republic","Prague, Prague, Czech Republic",on-site,permanent,english,
08d0fe41762c3787e10c,LinkedIn,Product Owner (w/m/d),die Mobiliar,"Bern, Berne, Switzerland","Bern, Berne, Switzerland",on-site,permanent,german,
0a8a4ac9dc6b49841757,LinkedIn,Product Owner E-commerce H/F,Balmain,"Paris, Île-de-France, France","Paris, Île-de-France, France",on-site,permanent,french,2
0aa0293e754395c4b9d8,LinkedIn,Product Owner m/w/d Corporate Shops & Punchout,FLYERALARM,"Würzburg, Bavaria, Germany","Würzburg, Bavaria, Germany",on-site,permanent,multiple,2
0aaed386f5ed36c8e32c,LinkedIn,"Senior Product Owner @ XiTrust Secure Technologies GmbH (Graz, Austria)",DEVjobs,"Graz, Styria, Austria","Graz, Styria, Austria",on-site,permanent,multiple,1
0bb801ee621435966989,LinkedIn,Product Manager,Volvo Trucks,"Istanbul, Istanbul, Türkiye","Istanbul, Istanbul, Türkiye",on-site,permanent,english,1
0bd9b7ab7cd0a6276c73,LinkedIn,Equities Client Billing Product Lead Vice President,JPMorganChase,"Greater London, England, UK","Greater London, England, UK",on-site,permanent,english,2
0bef0a35e496785a05b4,LinkedIn,Product Owner - QA Platform,Kramp,"Utrecht, Utrecht, Netherlands","Utrecht, Utrecht, Netherlands",on-site,permanent,english,2
0c5d624601f0d7007128,LinkedIn,"Geschäftsführer & Lead Product Engineer EMS Plattform (100%, m/w/d)",EMSventure,"Zurich, Zurich, Switzerland","Zurich, Zurich, Switzerland",on-site,permanent,german,
0c950f65b4a346bd1298,LinkedIn,Product Owner Data (F/H),Aubay,"Île-de-France, France","Île-de-France, France",on-site,permanent,french,2
0d3ec1ed896a933703ae,LinkedIn,"Product Manager, Fintech",Rakuten Viber,"London Area, United Kingdom","London Area, United Kingdom",on-site,permanent,english,
0dd53c2f84e5e85cbc60,LinkedIn,Product Owner (m/w/d),Head in the Cloud Summit,"Espelkamp, North Rhine-Westphalia, Germany","Espelkamp, North Rhine-Westphalia, Germany",on-site,permanent,german,1
0eb056c6474235caecb6,LinkedIn,Senior Product Manager BI,WPP Media,"Amsterdam, North Holland, Netherlands","Amsterdam, North Holland, Netherlands",on-site,permanent,english,1
118920841af6308f9914,LinkedIn,Head of Product Service,Voortman Steel Group,"Rijssen, Overijssel, Netherlands","Rijssen, Overijssel, Netherlands",on-site,permanent,unknown,1
119a7756a4d151b7cb1a,LinkedIn,IT Product Manager,Roche,"Basel, Basel, Switzerland","Basel, Basel, Switzerland",on-site,permanent,unknown,
00479fe5f84002ba6a70,Indeed,Requirements Engineer / Product Owner (a) 80-100%,Axon Lab AG,"Thun, BE, CH","Thun, BE, CH",on-site,permanent,german,
00c053e8096683217e3e,Indeed,Data translation / product owner Expérimenté (Data Platform) (IT) / Freelance,Craftman data,"Massy, A8, FR","Massy, A8, FR",on-site,freelance,french,1
0129da7b9c088d3e0a40,Indeed,Wealth Management Product Owner,Barclays,"London, ENG, GB","London, ENG, GB",on-site,permanent,english,2
01bafc49d5b3ac4cb3a0,Indeed,Technical Product Owner Documedis Platform 80%-100% Galenica AG,Galenica,"Bern, BE, CH","Bern, BE, CH",on-site,permanent,multiple,3
0520816b4eb5868e1fd8,Indeed,Senior Product Manager Digital Assets | Wallet Management & Custody Transformation (IT) / Freelance,NOVAMINDS,"Paris, A8, FR","Paris, A8, FR",on-site,freelance,french,2
05747a949a2983232825,Indeed,Product Owner Security (w/m),Ärztekasse,"Urdorf, ZH, CH","Urdorf, ZH, CH",on-site,permanent,english,1
06e8f6635161281da1ad,Indeed,Head of Product Service Line,EGA,"Abu Dhabi, AZ, AE","Abu Dhabi, AZ, AE",on-site,permanent,english,
08839750181e64c0b593,Indeed,Productie- en Servicemedewerker 3D-printing,Orthoshapes B.V.,"Ede, GE, NL","Ede, GE, NL",on-site,permanent,unknown,1
08ca67c1bbd29125c615,Indeed,Product Owner Data Analytics,CompuSafe Data Systems,"Unterföhring, BY, DE","Unterföhring, BY, DE",on-site,contract,german,1
0b1f143c166927d417bb,Indeed,"AI Product Manager, Monk",ACV Auctions,"Paris, A8, FR","Paris, A8, FR",on-site,permanent,english,2
0f59a7dded14a5bb5e28,Indeed,Data Product Manager,Virgin,"London, ENG, GB","London, ENG, GB",on-site,permanent,english,2
123fe8546396612df225,Indeed,Proxy Product Owner IT / Applicatif H/F,AVISTO,"Valbonne, B8, FR","Valbonne, B8, FR",on-site,permanent,french,2
00613a2bb30881886aeb,HeadHunter,Product Owner (Кредит наличными),ОТП Банк. Бизнес,"Москва, Russia","Москва, Russia",on-site,permanent,russian,1
08477685ebcaee44092a,HeadHunter,Product Lead,Neiry,"Москва, Russia","Москва, Russia",on-site,permanent,russian,1
