id,source,title,company,work_mode,contract_type,language_required
00479fe5f84002ba6a70,Indeed,Requirements Engineer / Product Owner (a) 80-100%,Axon Lab AG,on-site,permanent,german
06e8f6635161281da1ad,Indeed,Head of Product Service Line,EGA,on-site,permanent,english
08839750181e64c0b593,Indeed,Productie- en Servicemedewerker 3D-printing,Orthoshapes B.V.,on-site,permanent,unknown
0bfe1f1e95d775202ef0,Gem,Senior Product Engineer,Caffeine AI (Caffeine Labs),on-site,permanent,english
0e8b1e09a9a538362a32,Greenhouse,"Staff Product Manager, Banking",Robinhood,on-site,permanent,english
0ecfa0333574042c7b88,Jobup,ICT Product Owner,Academic Work Switzerland SA,on-site,unknown,english
11b8e6da48bcb3b387ea,Jobup,Product Owner (m/w/d) mit Architekturerfahrung,SBB CFF FFS,on-site,permanent,german
11ed451a6d39ed3e5a6b,LinkedIn,Product Owner Security,BauWatch Group,on-site,permanent,english
1242413b945653a21b30,LinkedIn,Head of Product Engineering & Software Development (d/w/m),Label Up,on-site,permanent,german
1268f0223308e196781a,Lever,Go to Market Engineer / RevOps Engineer,Impossible Cloud (ICN),on-site,permanent,english
133e8ee2b2eca92a46a3,LinkedIn,Lead Product Manager - CDI Paris - Theodo,Theodo,on-site,permanent,french
13762674677656c06087,LinkedIn,Senior Director of Product Portfolio Strategy,On,on-site,permanent,english
14bc03ff287b76520a95,Greenhouse,"Staff Product Manager, Government Products",Robinhood,on-site,permanent,english
14e996c9292bd4bb5f0b,Indeed,Product Manager,PORTWEST,on-site,permanent,english
14ec4a09a3f2c7af95b9,Indeed,Product Manager/-in III,Swiss Federal Administration,on-site,permanent,multiple
15021582ec1cd3454490,LinkedIn,Senior Product Manager,Anaplan,on-site,permanent,english
1535eea2db1c7f55f518,Workable,Head of Trading,Crypto Finance AG,on-site,permanent,english
15487d3aa1e775ddf969,Indeed,Product Owner Security (w/m),Coopérative de la Caisse des Médecins,on-site,permanent,english
156fcc0cfd0fcd68d8a5,LinkedIn,Senior Product Manager (AI / health-tech),Massive Bio,on-site,permanent,english
15a49630f527d5e3bead,Indeed,Senior Product Manager (m/w/d),ARYZTA,on-site,permanent,german
15e7682657d4590fab59,LinkedIn,Product Manager - Quest Platform,Xsolla,on-site,permanent,english
1659577535f3f3735cbb,LinkedIn,Product Manager,Delvitech SA,on-site,permanent,english
1736a062a5e46678a522,Jobup,Product Owner Advanced Analytics for Commercial Domain,Thoratec Switzerland GmbH,on-site,permanent,english
1749f0d1969dca226392,LinkedIn,Product Owner @ XiTrust,DEVjobs,on-site,permanent,multiple
1759b975ac4cddf3d7cd,HeadHunter,Product Manager (Game Design),BLACKHUB GAMES,on-site,permanent,russian
177cf96b231b4ee83bc0,HeadHunter,PRODUCT MANAGER (Платформа по недвижимости)/ МЕНЕДЖЕР ПРОДУКТА,ОООБазис Девелопмент,on-site,permanent,russian
17a87789ff1f33a5c5af,HeadHunter,Business Unit Head of Product (стратегия и монетизация),Группа проектов ARTDOM,on-site,permanent,russian
17e8d4639784c6d960bd,LinkedIn,VP Product (m/f/d),KoRo,on-site,permanent,english
188db29bcbc2ac97addc,LinkedIn,Product Manager - New Games,Rollic,on-site,permanent,english
191c44ab1d19093f2af6,Workable,Senior Product Manager - Custody & Settlement,Crypto Finance AG,on-site,permanent,english
194a97d01006129b1bf5,LinkedIn,Senior Product Manager (Bangkok-based),Agoda,on-site,permanent,english
197a0e83785568f584bf,LinkedIn,Product Owner,AGNTX,on-site,contract,german
199a6da573d55cc5df4b,Indeed,Chef de Projet MOE / Product Owner Technique H/F,CONSORT Group,on-site,permanent,french
19eb4d582770df1d97ac,HeadHunter,Владелец продукта «Рост партнёрской экосистемы» / Product Owner Enterprise Partner Growth,VVP Group,on-site,permanent,russian
1a54f44b2214b5d09d71,Jobup,Product Manager,KomGo SA,on-site,unknown,unknown
1a83a1ac8b8962d58520,LinkedIn,Product Owner,Cabinet EKINOX,on-site,permanent,french
1afed415c3e9776db0eb,LinkedIn,Senior Product Manager - Finance Transformation & Anaytics,Gi Group,on-site,permanent,english
1b4bde02d9e40616040b,LinkedIn,Senior Product Manager,Brevo,on-site,permanent,english
1b5465220e559d02c407,LinkedIn,Senior Product Manager - AI,Front,on-site,permanent,english
1c08d3bf750198ee8a2c,LinkedIn,Product Manager (f/m/d) - AI,Instaffo,on-site,permanent,english
1c4bdbd2255e8b781548,LinkedIn,AI Product Manager,Monk AI,on-site,permanent,english
1cf721953401a6344a1c,Jobup,Product Owner Insurance (m/w/d),Rocken®,on-site,unknown,unknown
1d40de69908a7d5d2312,LinkedIn,Head of Product Development (m/f/d),DSJ Global,on-site,permanent,multiple
1e3458e2c24a25db8664,LinkedIn,Product Manager,Wolters Kluwer,on-site,permanent,multiple
1e3e02dcd3208a7f5ada,LinkedIn,Product Owner Stedin,OverheidZZP,on-site,contract,unknown
1ff2f918a421c4c5ab8c,RemoteOK,Product Manager Data Platform,Spotify,on-site,permanent,english
20de6eec5d2cbc529a86,LinkedIn,Growth Product Owner (DE),Nodes & Links,on-site,permanent,english
2118bbf4a05594680c12,LinkedIn,Group Product Manager - Commercial Risk & Platform Fraud,Adyen,on-site,permanent,english
212c9264254087ee2f67,HeadHunter,"Менеджер по продукту / Продакт-менеджер / Product manager (фармацевтика, направление ОТС)",ЗАОКанонфарма продакшн,on-site,permanent,russian
216037c213b147470460,LinkedIn,Product Owner,The Value Maximizer,on-site,permanent,english
21c23f3c4ed7afd40c9a,LinkedIn,Product Owner (3 month contract),Inspired Thinking Group (ITG),on-site,contract,english
21eb54202569c86ab312,LinkedIn,Product Owner Cloud-Infrastruktur (Contract),adesso Schweiz AG,on-site,contract,multiple
224643ed7764d51c75bf,HeadHunter,Product Manager,ОООЛмдекор,on-site,permanent,russian
22fcf7c2f9ab755a38eb,LinkedIn,Product Manager – Produkt Compliance & Qualitätsmanagement (m/w/d),XXXLdigital – Part of XXXL Group,on-site,permanent,german
23406d4ee27f204c673b,LinkedIn,Product Owner WMS (H/F) - CDI - Projet mobilité en Corse,ZeTrace,on-site,permanent,spanish
2373b0af4810403a9cfc,HeadHunter,Product Owner в команду 1С,ЭКОПСИ Консалтинг,on-site,permanent,russian
23cbaac61c4ff9450d04,Greenhouse,"Lead Product Manager, Connectivity",Ripple,on-site,permanent,english
23ef5cdfe8c4ab1383c3,HeadHunter,Product Manager (B2E),Okko,on-site,permanent,russian
24875b932f7cd7bb4fdd,LinkedIn,"Product Owner Praktikant*in, Werkstudent*in",Emmanuel Kuffer | Flotte Automobile & Mobilité,on-site,internship,multiple
24a152733d781cbe1ba0,LinkedIn,Product Owner (F/H),Lucie ultrafrais,on-site,permanent,french
24c1a3082bbe4101a257,Greenhouse,"Product Manager, Global Marketplaces",Stripe,on-site,permanent,english
2583cb7b8f95cb5c45ba,Greenhouse,"Staff Product Manager, Global Expansion",Stripe,on-site,permanent,english
25b44701eef52fbde23f,LinkedIn,"Commercial Product Manager, Türkiye & ME",Nilfisk,on-site,permanent,english
25fa5ecaebaeb85f361e,LinkedIn,Senior Technical Product Owner,Yıldız Tech,on-site,permanent,english
260d47e07bed7ebbed4e,LinkedIn,Head of Product,Found By Few,on-site,permanent,english
2679bad43d0f87f42237,LinkedIn,E-commerce Product Owner,Guerlain,on-site,permanent,french
26fa21cc8304b48209f3,LinkedIn,Product Owner (H/F),Sully Group,on-site,permanent,french
270bbd8ab31b0a5572cf,LinkedIn,Product Manager Data H/F,NEXTON,on-site,permanent,french
2722799bc88e35012b7d,Indeed,Product Manager Business Systems (Payments & Revenue) (m/w/d),eXaring AG,on-site,permanent,german
276a0633154c2d03dc33,Greenhouse,"Product Lead, Support Experience",Stripe,on-site,permanent,english
279224cb8330f98b17e5,Indeed,(Staff) Product Manager - Growth (f/m/d),bunch,on-site,permanent,english
27e93798ea4dca443e10,Indeed,Technical Product Manager & QA Lead,Odyssey Technology,on-site,permanent,english
288bf7b9ffe5b05e7913,CryptoJobsList,"Senior Product Manager, AI Transformation",Crypto.com,on-site,permanent,english
298695461d2496d7716a,Indeed,Product Owner Infrastructure (IT) / Freelance,MLMCONSEIL,on-site,freelance,french
2a5e87f88f21bac65b36,LinkedIn,Senior Product Manager - Savings & Overdrafts H/F,Skaleet,on-site,permanent,english
2a7b89476a675d1bd998,HeadHunter,"Product Owner (Трайб ""Депозитарий"")",Сбер для экспертов,on-site,permanent,russian
2a99a716bb7b2983160c,HeadHunter,Technical Product Manager for Pricing & Availability,Островок.Ostrovok!Tech,on-site,permanent,russian
2a9cf9b71fde9f0d3d49,Greenhouse,"Product Manager, Sail Core",Stripe,on-site,permanent,english
2b1a3688176259f973b0,HeadHunter,Product manager,"X5, Медиа",on-site,permanent,russian
2b389dd306c112e3034f,Greenhouse,"Product Manager, Startup Products",Stripe,on-site,permanent,english
2bc10c2b4baba691dc00,Indeed,IT Product Owner SAP S/4HANA Bestellwesen / Backendprozesse [SAP MM] (w/m/d) 80 - 100%,Coop,on-site,permanent,german
2c3a11820a3a0a125294,HeadHunter,Lead product manager («Афиша»),"Rambler&Co Компания ""Афиша""",on-site,permanent,russian
2c78056554463b59e1f4,LinkedIn,Senior Product Owner for George (all humans),Erste Digital,on-site,permanent,english
2c8038d77f163fa64bf4,Indeed,Technical Product Owner,Sky,on-site,permanent,english
2c9441031a2bd4688be7,Indeed,Product Manager,Samsonite,on-site,unknown,english
2d7db88686a3ce03437c,LinkedIn,Senior Product Manager (Bangkok-based),Agoda,on-site,permanent,english
2d7f0e59f63e0e0d5920,Indeed,Senior Data & AI Product Manager,Multiplex,on-site,permanent,english
2e37fafc88328c1655c4,Indeed,PRODUCT OWNER Gouvernance DATA/IA F/H,MAIF,on-site,permanent,french
2ed88e496df64d594013,Indeed,Product Owner (m/w/d),SoftProject GmbH,on-site,permanent,german
2fd0ee662bf503bfa56a,Greenhouse,"Lead Product Manager, Platform Experience",Ripple,on-site,permanent,english
302b74aa969ea76f193b,Indeed,Senior Digital Product Owner (m/w/d),Schneider Electric,on-site,permanent,german
302dfe525e77ea31cf73,LinkedIn,Product manager H/F/X,Hager,on-site,permanent,french
